ABQ:Albuquerque:US:33.2:-107:257
ADR:Adria Center:YU:45:18:1500
ADR_E:Adria Center:YU:43.5:20.5:1501
ADR_W:Adria Center:YU:44.5:16:1502
AFRW:Africa West Control::3:-3:5102
AFRC:Africa Central Control::-5:25:5103
AFRE:Africa East Control::10:38:5104
AFRN:Africa North Control::17:9:5105
AFRS:Africa South Control:CD:-16:37:5106
AGGG:Honiara:SB:-9.5:160.9:195
ANAU:Nauru:NR:-4.2:165:196
ANC:Anchorage:US:61.5:-175:474
ZAN:Anchorage Oceanic:US:61.0:-175:474
ASEA:South East Asia Control::10.5:106.00:4435
ASEA_S:South East Asia Control::-0.5:114.50:4436
ASEA_N:South East Asia Control::12.5:106.00:4437
ASIA:West Asia Control::16:79:4224
ATL:Atlanta:US:34.3:-84.1:258
AYPM:Port Moresby:PG:-4:148.5:197
BALT:Baltic Control::57.5:23.3:613
BGGL:Nuuk:GL:71.2:-43.9:198
BICC:Iceland Radio:IS:72.5:-33:1995
BIRD:Reykjavik:IS:67:-33:1990
BIRD_E:Reykjavik:IS:66:-8:1991
BIRD_N:Reykjavik:IS:77:-40:1992
BIRD_S:Reykjavik:IS:63:-24:1993
BIRD_W:Reykjavik:IS:67:-48:1994
BN-ARA:Arafura 133.7:AU:-12:140:1178
BN-ARL:Armidale 130.9:AU:-31.75:151:1194
BN-BAR:Barra 123.8*(120.15):AU:-15:145:1196
BN-BUR:Burnett:AU:-26:153:1201
BN-COL:Brisbane Radio(Coral)133.15*(124.65):AU:-15:156:1202
BN-CVN:Carnarvon 133.8*(134.2):AU:-25.25:149:1204
BN-DOS:Downs 135.6*(134.2):AU:-26:149:1182
BN-FLD:Flinders132.85*(124.65):AU:-21:158:1206
BN-INL:Inverell 134.2:AU:-25.5:150.75:1209
BN-HWE:Brisbane Radio(Howe)124.95*(124.65):AU:-30:159:1212
BN-ISA:Isa 125.2:AU:-21:141:1186
BN-KEN:Kennedy 120.15:AU:-17:145:1217
BN-KIY:Kimberley 133.4*(133.2):AU:-16:124:1218
BN-KPL:Keppel 125.9*(134.2):AU:-23.5:151.5:1219
BN-MDE:Mudgee 133.0*(130.9):AU:-32:150:1187
BN-MLD:Maitland 132.35*(130.9):AU:-31.5:152:1221
BN-OCN:Ocean 128.6*(130.9):AU:-33.5:153.5:1224
BN-SDY:Straddy 134.3*(134.2):AU:-27:154.5:1227
BN-STR:Sturt 134.4*(133.2):AU:-18.25:134.5:1229
BN-SWY:Swampy 133.2*(120.15):AU:-20.75:149.25:1228
BN-TBP:Tabletop 120.55*(120.15):AU:-18.5:145.5:1191
BN-TRT:Territory 133.2:AU:-15:131:1192
BN-TSN:Brisbane Radio(Tasman)124.65:AU:-28:159:1193
BN-WEG:Warrego 132.45*(125.2):AU:-25:143:1232
BOS:Boston:US:43.8:-71.9:259
CHI:Chicago:US:42.1:-89.2:260
ORD:Chicago:US:42.1:-89.2:260
CLE:Cleveland:US:41.5:-80.9:261
CZEG:Edmonton:CA:64:-119:200
EDM:Edmonton:CA:64.3:-119:200
ZEG:Edmonton:CA:63.7:-119:200
