010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
010014 ENSO   STORD/SOERSTOKKEN   NO 5948N 00521E 0049   
010015 ENBL   FORDE/BRINGELAND    NO 6127N 00552E 0150   
010017 ENFR   FRIGG               NO 5956N 00200E    
010030        HORNSUND RIVER      NO 7700N 01530E 0012   
010040 ENAS   NY-ALESUND II       NO 7855N 01156E 0008   
010080 ENSB   SVALBARD/LONGYEAR   NO 7815N 01528E 0029   
010100 ENAN   ANDOYA/ANDENES(AFB) NO 6918N 01609E 0014   
010150        HEKKINGEN (LGT-H)   NO 6936N 01750E 0014   
010160        SENJA/GRASMYRSKOGEN NO 6917N 01746E 0050   
010230 ENDU   BARDUFOSS (CIV/MIL) NO 6903N 01833E 0079   
010250 ENTC   TROMSO/LANGNES      NO 6941N 01855E 0010   
010280 ENBJ   BJORNOYA ISLAND     NO 7431N 01901E 0014   
010320        OVERBYGD            NO 6901N 01917E 0078   
010330        TORSVAG (LGT-H)     NO 7015N 01930E 0024   
010340        FUGLOYKALVEN (LH)   NO 7019N 02009E 0037   
010350        KVESMENES-RYENG     NO 6915N 01959E 0037   
010410        NORDREISA           NO 6945N 02102E 0004   
010430        LOPPA               NO 7020N 02128E 0011   
010435 ENHK   HASVIK              NO 7029N 02209E 0010   
010450        NORDSTRAUM I KVAENA NO 6950N 02153E 0006   
010460 ENSR   SORKJOSEN           NO 6947N 02058E 0006   
010470 ENKA   KAUTOKEINO II       NO 6901N 02304E 0330   
010490 ENAT   ALTA AIRPORT        NO 6959N 02322E 0003   
010510        SOLOVOMI            NO 6935N 02332E 0374   
010520 ENHF   HAMMERFEST          NO 7040N 02340E 0081   
010550        FRUHOLMEN (LGT-H)   NO 7106N 02400E 0014   
010570        CUOVDATMAKKI        NO 6922N 02426E 0286   
010590 ENNA   BANAK/LAKSELV (AFB) NO 7004N 02459E 0008   
010620 ENHO   HOPEN ISLAND        NO 7630N 02504E 0010   
010650        KARASJOK            NO 6928N 02530E 0133   
010660        HELNES (LGT-H)      NO 7104N 02614E 0033   
010680 ENHV   HONNINGSVAG/VALAN   NO 7101N 02559E 0014   
010740 ENMH   MEHAMN              NO 7102N 02750E 0013   
010750        RUSTEFJELBMA        NO 7024N 02812E 0011   
010780        SLETNES (LGT-H)     NO 7105N 02814E 0010   
010830 ENBV   BERLEVAG            NO 7052N 02902E 0013   
010840        PASVIK              NO 6910N 02915E 0054   
010880 ENVD   VADSO               NO 7004N 02951E 0039   
010885 ENBS   BATSFJORD           NO 7038N 02944E 0010   
010890 ENKR   KIRKENES (CIV/MIL)  NO 6944N 02954E 0091   
010920        MAKKAUR (LGT-H)     NO 7042N 03005E 0009   
010970 ENSS   SVARTNES            NO 7021N 03103E 0012   
010980        VARDO               NO 7022N 03106E 0015   
011020        SKLINNA (LGT-H)     NO 6512N 01100E 0016   
011030        LEKA ISLAND         NO 6506N 01142E 0047   
011060        ROST II ISLAND      NO 6730N 01205E 0011   
011070 ENRS   ROST (NOR-AFB)      NO 6731N 01206E 0004   
011080        VEGA-VALLSJO        NO 6542N 01151E 0002   
011120 ENBN   BRONNOYSUND/BRONNOY NO 6528N 01213E 0009   
011133 ENDI   DAGALI              NO 6025N 00831E 0798   
011150        MYKEN ISLAND        NO 6646N 01229E 0021   
011160 ENST   SANDNESSJOEN/STOKKA NO 6558N 01228E 0017   
011210        NORD-SOLVAER        NO 6624N 01237E 0010   
011220 ENMS   MOSJOEN/KJAERSTAD & NO 6548N 01308E 0070   
